UPC#12,UPC#11,KEHE#,CUST ITEM#,BRAND,ITEM DESC,SIZE,UOM,PACK,CASE PRICE,RETAIL PRICE,CAT1,CAT2,CAT3,CLASS DESC,DIV DESC,DEPARTMENT,ITEM STATUS,CASE LENGTH,CASE WIDTH,CASE HEIGHT,CASE WEIGHT
070641000097,07064100009,5588,,MARUKAN,MARUKAN VINEGAR RICE SSND GRMT,12.00,FO,6,16.500,3.99,Specialty Groce,OILS & VINEGARS,MAINSTREAM,OILS & VINEGARS,SPECIALTY GROCERY,100,ACTIVE,0000008,5.60,8.000,11.060
041390041402,04139004140,5589,,KIKKOMAN,KIKKOMAN MIX SSNNG STIR FRY,1.000,OZ,12,9.240,1.19,Specialty Groce,SPICES SEASONIN,MAINSTREAM,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000005,4.75,6.250,1.050
041390041204,04139004120,5590,,KIKKOMAN,KIKKOMAN MIX SSNNG FRIED RICE,1.000,OZ,12,9.240,1.19,Specialty Groce,SPICES SEASONIN,MAINSTREAM,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000005,4.75,6.250,1.050
041390042003,04139004200,5592,,KIKKOMAN,KIKKOMAN MIX MARINADE MEAT,1.000,OZ,12,9.240,1.19,Specialty Groce,SPICES SEASONIN,MAINSTREAM,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000005,4.75,6.250,1.050
011152094564,01115209456,5598,,DYNASTY,DYNASTY SAUCE OYSTER,9.000,OZ,6,19.320,4.69,Specialty Groce,CONDIMENTS DRES,MAINSTREAM,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000008,7.13,4.250,12.840
011152066301,01115206630,5613,,NISHIKI,NISHIKI RICE MUSENMAI PREMIUM,2.000,LB,12,34.440,4.19,Specialty Groce,BEANS GRAINS RI,MAINSTREAM,BEANS GRAINS RICE,SPECIALTY GROCERY,100,ACTIVE,0000017,9.25,6.250,25.400
075810021255,07581002125,5621,,SAN J,SAN J SAUCE SOY TAMARI PREMIUM,10.00,OZ,6,15.480,3.69,Specialty Groce,CONDIMENTS DRES,MAINSTREAM,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000007,5.30,8.200,8.180
072310000520,07231000052,5630,,BIGELOW,BIGELOW TEA I LOVE LEMON 20BG,1.280,OZ,6,16.500,3.99,Specialty Groce,TEA,HERBAL TEA - BAGS,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.400
072310001923,07231000192,5634,,BIGELOW,BIGELOW TEA 6VRTY 18BG,1.100,OZ,6,16.500,3.99,Specialty Groce,TEA,HERBAL TEA - BAGS,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.380
072310000988,07231000098,5636,,BIGELOW,BIGELOW TEA HERB 6VRTY 18BG,1.030,OZ,6,16.500,3.99,Specialty Groce,TEA,HERBAL TEA - BAGS,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.380
072310000506,07231000050,5651,,BIGELOW,BIGELOW TEA ORAN & SPICE 20BG,1.500,OZ,6,16.500,3.99,Specialty Groce,TEA,HERBAL TEA - BAGS,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.370
072310001039,07231000103,5655,,BIGELOW,BIGELOW TEA CONSTNT CMMNT 40BG,2.370,OZ,6,27.180,6.49,Specialty Groce,TEA,BLACK TEA BAG,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,14.50,5.660,2.060
072310001442,07231000144,5671,,BIGELOW,BIGELOW TEA ENGL BRKFAST 20BG,1.180,OZ,6,16.500,3.99,Specialty Groce,TEA,BLACK TEA BAG,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.500
072310001053,07231000105,5675,,BIGELOW,BIGELOW TEA CONSTNT CMMNT 20BG,1.180,OZ,6,16.500,3.99,Specialty Groce,TEA,BLACK TEA BAG,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.250
072310001787,07231000178,5676,,BIGELOW,BIGELOW TEA CNNMN STIX 20BG,1.280,OZ,6,16.500,3.99,Specialty Groce,TEA,HERBAL TEA - BAGS,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.500
072310001237,07231000123,5677,,BIGELOW,BIGELOW TEA EARL GREY 20BG,1.180,OZ,6,16.500,3.99,Specialty Groce,TEA,BLACK TEA BAG,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.400
072310000377,07231000037,5700,,BIGELOW,BIGELOW TEA RED RSPBRY 20BG,1.180,OZ,6,16.500,3.99,Specialty Groce,TEA,HERBAL TEA - BAGS,TEA,SPECIALTY GROCERY,100,ACTIVE,0000009,5.55,5.720,1.400
072310001770,07231000177,5702,,BIGELOW,BIGELOW TEA ENGL TEATIME 20BG,1.500,OZ,6,16.500,3.99,Specialty Groce,TEA,BLACK TEA BAG,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.500
072310001978,07231000197,5703,,BIGELOW,BIGELOW TEA LEMON LIFT 20BG,1.370,OZ,6,16.500,3.99,Specialty Groce,TEA,BLACK TEA BAG,TEA,SPECIALTY GROCERY,100,ACTIVE,0000010,5.60,5.900,1.500
072310001893,07231000189,5704,,BIGELOW,BIGELOW TEA PERFECTLY MINT 20BG,1.180,OZ,6,16.500,3.99,Specialty Groce,TEA,BLACK TEA BAG,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.250
072310001992,07231000199,5705,,BIGELOW,BIGELOW TEA OOLONG 20BG,1.500,OZ,6,16.500,3.99,Specialty Groce,TEA,BLACK TEA BAG,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.690
072310001381,07231000138,5706,,BIGELOW,BIGELOW TEA DARJEELING 20BG,1.180,OZ,6,16.500,3.99,Specialty Groce,TEA,BLACK TEA BAG,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.500
072310000735,07231000073,5736,,BIGELOW,BIGELOW TEA MINT MEDLEY 20BG,1.300,OZ,6,16.500,3.99,Specialty Groce,TEA,HERBAL TEA - BAGS,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.500
072310000865,07231000086,5745,,BIGELOW,BIGELOW TEA SWEET DREAMS 20BG,1.090,OZ,6,16.500,3.99,Specialty Groce,TEA,MEDICINAL TEA - BAGS,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,9.88,5.720,1.300
041234715117,04123471511,5749,,GOLDEN DIPT,GOLDEN DIPT MIX BATTER BEER,10.00,OZ,8,21.840,3.99,Specialty Groce,SPICES SEASONIN,FISH FRY COATINGS,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000009,6.88,6.600,5.820
041234710914,04123471091,5754,,GOLDEN DIPT,GOLDEN DIPT MIX FRY FISH CAJUN STYLE,10.00,OZ,8,21.840,3.99,Specialty Groce,SPICES SEASONIN,FISH FRY COATINGS,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000009,6.88,6.300,5.800
076299100127,07629910012,5761,,PAPPYS,PAPPYS TEA SASSAFRAS INSTNT,12.00,FO,6,13.380,3.19,Natural Grocery,TEA,LIQ TEA CONCENTRATE,TEA,NATURAL GROCERY,100,ACTIVE,0000008,5.75,7.000,5.520
072310001244,07231000124,5765,,BIGELOW,BIGELOW TEA EARL GREY 40BG,2.370,OZ,6,27.180,6.49,Specialty Groce,TEA,BLACK TEA BAG,TEA,SPECIALTY GROCERY,100,ACTIVE,0000005,14.50,5.660,2.580
